ID_visitante;N_bilhete;NIF_visitante
1;11;383018520
2;12;382429264
3;13;325127818
4;14;288556962
5;15;310168972
6;16;362058041
7;17;396130510
8;18;322981446
9;19;376665950
10;20;230728524
11;21;297985648
12;22;216872294
13;23;211278590
14;24;343244790
15;25;263697967
16;26;349000112
17;27;398186618
18;28;234470537
19;29;328783621
20;30;341880686
21;31;297972294
22;32;262593095
23;33;233650675
24;34;341809992
25;35;385866285
26;36;247468906
27;37;276343918
28;38;224356397
29;39;200661103
30;40;383054042
31;41;273413582
32;42;276863639
33;43;338378623
34;44;238871715
35;45;213220450
36;46;343520899
37;47;398118032
38;48;354161339
39;49;370193895
40;50;241014943
41;51;286953478
42;52;224322824
43;53;309937850
44;54;379626507
45;55;252297335
46;56;316228195
47;57;350656720
48;58;231964187
49;59;214716582
50;60;389231761
51;61;221230072
52;62;233631338
53;63;250951356
54;64;373982929
55;65;294681055
56;66;327073571
57;67;236215877
58;68;337569045
59;69;307097663
60;70;224292339
61;71;339097470
62;72;218392894
63;73;236066394
64;74;355866247
65;75;235762164
66;76;335563249
67;77;275548182
68;78;387352872
69;79;271842864
