NIF;Nome;Endereco;Data_N
383018520;Noel Bruffell;74 Mariners Cove Road;15/06/1987
382429264;Marv Pinnegar;4 Beilfuss Trail;13/03/2019
325127818;Corrinne Sandell;249 Pierstorff Place;01/10/2008
288556962;Brandea Accum;83 Ridge Oak Lane;12/11/2008
310168972;Carmela Girardi;8 Logan Center;13/01/1996
362058041;Alicia Wasylkiewicz;544 Bonner Hill;02/03/2006
396130510;Olva Standage;60774 Grasskamp Park;10/06/2013
322981446;Rosetta Allderidge;629 Division Hill;10/10/2014
376665950;Nickie Dameisele;2 Mosinee Drive;17/08/2001
230728524;Gennifer Baldacchino;1 Waxwing Terrace;15/10/1995
297985648;Alisander Player;942 Pawling Plaza;17/04/2017
216872294;Debby Harriday;8 Lerdahl Way;06/09/2013
211278590;Fina Jurick;94177 Farwell Center;20/07/1997
343244790;Butch Cluderay;54973 South Hill;15/04/2017
263697967;Emmaline Rableau;7 Fieldstone Place;19/03/1994
349000112;Lilith Ferruzzi;82174 Eggendart Alley;23/12/2006
398186618;Emmit Ochterlony;705 Namekagon Alley;23/04/1992
234470537;Marlowe Cajkler;163 Knutson Hill;05/02/1997
328783621;Pip Phipard-Shears;83737 Gale Circle;07/09/1992
341880686;Sadella Edwards;1356 Grasskamp Alley;05/04/1995
297972294;Adam Elcox;99854 Ridge Oak Place;28/06/1992
262593095;Padgett Greydon;03 Ohio Junction;10/10/2009
233650675;Gilberte Pelzer;1615 Waywood Avenue;23/05/1983
341809992;Eberhard Sheringham;55 Prairieview Circle;20/10/2017
385866285;Gusta Buxey;4869 Eggendart Trail;24/05/1996
247468906;Skipper Pimblott;82 Sloan Junction;18/12/2012
276343918;Janessa Ivanishin;679 American Ash Circle;14/11/2002
224356397;Damiano Sprowson;98 Marcy Crossing;05/02/2008
200661103;Clemmy Sher;63 Manufacturers Park;09/08/2009
383054042;Janina Flucks;0785 Burrows Drive;26/02/2000
273413582;Nicola Pedler;7433 Old Gate Point;18/05/2020
276863639;Lanni Lingley;42081 Riverside Circle;31/08/2013
338378623;Charo Lindup;4795 4th Hill;29/04/2017
238871715;Zelig Walling;13 Nobel Crossing;01/07/2000
213220450;Erica Chilcotte;5263 Dixon Road;02/07/2016
343520899;Gabriella Freschini;727 Ridgeway Junction;16/01/1999
398118032;Levin Branche;07 Susan Point;27/10/2020
354161339;Jillana Cattanach;2689 Sherman Point;28/02/2013
370193895;Harley Sewell;7 Colorado Street;13/08/1999
241014943;Harris Nettle;492 Brown Junction;23/06/1982
286953478;Delora Whatford;0 Harper Plaza;17/02/1997
224322824;Ninette Appleby;1225 Sunnyside Drive;28/02/2003
309937850;Rosalinde Blastock;32860 Myrtle Center;19/09/2011
379626507;Evered Assandri;820 Hansons Alley;30/07/1982
252297335;Nicko Lowless;9 Corben Court;03/11/2001
316228195;Coriss Derry;48 Sunfield Drive;18/11/1989
350656720;Emiline Cockland;15851 Sage Place;27/11/1999
231964187;Kristine Gomm;61 Milwaukee Terrace;18/06/2000
214716582;Cort Lymer;83 Meadow Valley Court;07/05/1996
389231761;Ronny MacEntee;4 Oakridge Alley;27/04/1987
221230072;Conrado Briscoe;816 Dorton Road;18/06/2013
233631338;Verge Regus;0 Village Court;01/11/1992
250951356;Derrick Blackstone;9 Saint Paul Alley;04/08/2012
373982929;Audrey Dominick;6276 Hayes Pass;25/09/1994
294681055;Kevyn Bootell;70776 Drewry Circle;01/02/1997
327073571;Gwenette Watman;604 Cody Junction;03/01/1988
236215877;Gail Panswick;97 Muir Alley;15/08/1998
337569045;Selina Ogden;648 Northwestern Drive;05/10/1997
307097663;Neddie Adamek;8 Hallows Hill;10/09/2008
224292339;Osmond Rubega;13 Nova Court;12/03/1991
339097470;Gnni Coolican;155 Garrison Avenue;27/06/2014
218392894;Lyndell Mounce;994 Acker Lane;20/09/1997
236066394;Reynold Townley;2 Corscot Pass;23/08/2020
355866247;Kris Claussen;81731 Superior Terrace;12/12/2002
235762164;Abby Sonschein;45722 Debs Pass;20/11/2010
335563249;Kayle Cheeseman;256 Hanson Avenue;14/02/1984
275548182;Letty Verden;01879 Walton Street;12/04/2004
387352872;Melisande Aronovich;1494 Trailsway Junction;05/08/1983
271842864;Ari Duplain;3 Comanche Terrace;08/03/2017
