ID_Visitante;FK_NIF;;
1;383018520;;
2;382429264;;
3;325127818;;
4;288556962;;
5;310168972;;
6;362058041;;
7;396130510;;
8;322981446;;
9;376665950;;
10;230728524;;
11;297985648;;
12;216872294;;
13;211278590;;
14;343244790;;
15;263697967;;
16;349000112;;
17;398186618;;
18;234470537;;
19;328783621;;
20;341880686;;
21;297972294;;
22;262593095;;
23;233650675;;
24;341809992;;
25;385866285;;
26;247468906;;
27;276343918;;
28;224356397;;
29;200661103;;
30;383054042;;
31;273413582;;
32;276863639;;
33;338378623;;
34;238871715;;
35;213220450;;
36;343520899;;
37;398118032;;
38;354161339;;
39;370193895;;
40;241014943;;
41;286953478;;
42;224322824;;
43;309937850;;
44;379626507;;
45;252297335;;
46;316228195;;
47;350656720;;
48;231964187;;
49;214716582;;
50;389231761;;
51;221230072;;
52;233631338;;
53;250951356;;
54;373982929;;
55;294681055;;
56;327073571;;
57;236215877;;
58;337569045;;
59;307097663;;
60;224292339;;
61;339097470;;
62;218392894;;
63;236066394;;
64;355866247;;
65;235762164;;
66;335563249;;
67;275548182;;
68;387352872;;
69;271842864;;
